engine	symbol	class	base_hash	xetex_hash	external_boundaries	diff
shared	clearforerrorprompt	TexCompatibleDuplicate	3c58861701216f2a	3c58861701216f2a	Clean	IdenticalAfterNormalization
shared	comparestrings	XetexWidenedDuplicate	-	cffcaa1d5222ebd4	Clean	IdenticalAfterNormalization
shared	conditional	XetexWidenedDuplicate	dc966503db942700	9f816e139ad7b028	Clean	LargeSemanticDivergence
shared	convtoks	BoundaryAdapterRequired	e3e61f3b583d2cd0	a7d3d7e6154347f5	CFDictionaryRef,aatprintfontname,getcreationdate,getfiledump,getfilemoddate,getmd5sum,grprintfontname,printglyphname,usingGraphite,znotaatfonterror,znotaatgrfonterror	HostBoundaryDifference
shared	cserror	XetexWidenedDuplicate	3ec67486aecdbb39	82e294d66345a31e	Clean	LargeSemanticDivergence
shared	defaultrulethickness	XetexWidenedDuplicate	-	0aee499588490936	Clean	IdenticalAfterNormalization
shared	deletelast	XetexWidenedDuplicate	e63adb388cc2bde9	e5d89c2fa576b165	Clean	SmallGuardedBehavior
shared	doassignments	XetexWidenedDuplicate	a02899dae85dca2d	68ba2e1642540c8e	Clean	OnlyConstantsDiffer
shared	doendv	XetexWidenedDuplicate	1eaea66ba44c694f	8c9270a826403acd	Clean	SmallGuardedBehavior
shared	doextension	BoundaryAdapterRequired	9fe4ad42bbeebe12	ca2c34dbeb33d8c1	setinputfileencoding	HostBoundaryDifference
shared	endfilereading	BoundaryAdapterRequired	94b75bd8466d2dfa	0a06dca2fb7a86ee	u_close_file_or_pipe	HostBoundaryDifference
shared	endgraf	XetexWidenedDuplicate	afc9dee070f4fc58	4a43f7060b73e71b	Clean	OnlyConstantsDiffer
shared	endname	XetexWidenedDuplicate	7966ff4a78dde3a2	ffcfbaf36a2d652b	Clean	LargeSemanticDivergence
shared	endtokenlist	XetexWidenedDuplicate	cca76210ebe29675	61484e60407165cc	Clean	LargeSemanticDivergence
shared	error	XetexWidenedDuplicate	461d248567f7b1d8	5ebcce04b5c8b6a1	Clean	SmallGuardedBehavior
shared	expand	XetexWidenedDuplicate	c464b78e55535462	9add5ab1dd7eaadd	Clean	LargeSemanticDivergence
